Day,bitcoin
2016-10-13,57.92
2016-10-14,59.166666666666664
2016-10-15,56.041666666666664
2016-10-16,56.75
2016-10-17,53.458333333333336
2016-10-18,54.5
2016-10-19,56.583333333333336
2016-10-20,62.04
2016-10-21,56.5
2016-10-22,61.708333333333336
2016-10-23,63.666666666666664
2016-10-24,61.5
2016-10-25,62.208333333333336
2016-10-26,66.0
2016-10-27,43.08
2016-10-28,43.75
2016-10-29,47.083333333333336
2016-10-30,42.375
2016-10-31,43.375
2016-11-01,44.833333333333336
2016-11-02,42.125
2016-11-03,45.2
2016-11-04,43.25
2016-11-05,45.75
2016-11-06,41.458333333333336
2016-11-07,40.416666666666664
2016-11-08,41.083333333333336
2016-11-09,59.416666666666664
2016-11-10,55.24
2016-11-11,53.75
2016-11-12,54.708333333333336
2016-11-13,55.375
2016-11-14,56.0
2016-11-15,57.875
2016-11-16,56.541666666666664
2016-11-17,69.2
2016-11-18,66.66666666666667
2016-11-19,63.833333333333336
2016-11-20,59.25
2016-11-21,61.166666666666664
2016-11-22,62.583333333333336
2016-11-23,69.0
2016-11-24,65.04
2016-11-25,65.0
2016-11-26,59.041666666666664
2016-11-27,62.125
2016-11-28,66.625
2016-11-29,69.54166666666667
2016-11-30,65.58333333333333
2016-12-01,66.88
2016-12-02,73.04166666666667
2016-12-03,66.04166666666667
2016-12-04,61.208333333333336
2016-12-05,68.04166666666667
2016-12-06,67.54166666666667
2016-12-07,66.625
2016-12-08,65.04
2016-12-09,63.166666666666664
2016-12-10,61.333333333333336
2016-12-11,59.541666666666664
2016-12-12,61.75
2016-12-13,64.79166666666667
2016-12-14,64.20833333333333
2016-12-15,59.12
2016-12-16,58.041666666666664
2016-12-17,58.375
2016-12-18,55.208333333333336
2016-12-19,62.333333333333336
2016-12-20,63.416666666666664
2016-12-21,79.04166666666667
2016-12-22,63.2
2016-12-23,70.125
2016-12-24,55.958333333333336
2016-12-25,54.0
2016-12-26,54.791666666666664
2016-12-27,59.916666666666664
2016-12-28,68.04166666666667
2016-12-29,51.96
2016-12-30,45.125
2016-12-31,36.875
2017-01-01,38.875
2017-01-02,62.416666666666664
2017-01-03,62.166666666666664
2017-01-04,68.58333333333333
2017-01-05,80.0
2017-01-06,71.83333333333333
2017-01-07,57.208333333333336
2017-01-08,51.958333333333336
2017-01-09,50.041666666666664
2017-01-10,45.625
2017-01-11,51.625
2017-01-12,79.48
2017-01-13,63.583333333333336
2017-01-14,60.625
2017-01-15,59.291666666666664
2017-01-16,56.0
2017-01-17,58.916666666666664
2017-01-18,57.375
2017-01-19,67.12
2017-01-20,60.916666666666664
2017-01-21,60.958333333333336
2017-01-22,59.0
2017-01-23,63.75
2017-01-24,64.16666666666667
2017-01-25,61.041666666666664
2017-01-26,59.32
2017-01-27,61.333333333333336
2017-01-28,56.666666666666664
2017-01-29,57.791666666666664
2017-01-30,60.5
2017-01-31,62.5
2017-02-01,71.79166666666667
2017-02-02,64.84
2017-02-03,70.0
2017-02-04,63.583333333333336
2017-02-05,63.916666666666664
2017-02-06,63.541666666666664
2017-02-07,61.666666666666664
2017-02-08,66.625
2017-02-09,71.52
2017-02-10,66.91666666666667
2017-02-11,62.208333333333336
2017-02-12,59.416666666666664
2017-02-13,58.375
2017-02-14,59.791666666666664
2017-02-15,59.583333333333336
2017-02-16,66.84
2017-02-17,64.04166666666667
2017-02-18,63.583333333333336
2017-02-19,57.375
2017-02-20,63.375
2017-02-21,75.75
2017-02-22,73.0
2017-02-23,65.24
2017-02-24,75.625
2017-02-25,62.333333333333336
2017-02-26,54.583333333333336
2017-02-27,57.083333333333336
2017-02-28,59.708333333333336
2017-03-01,57.791666666666664
2017-03-02,56.4
2017-03-03,72.16666666666667
2017-03-04,60.375
2017-03-05,49.833333333333336
2017-03-06,51.958333333333336
2017-03-07,57.625
2017-03-08,56.958333333333336
2017-03-09,28.36
2017-03-10,37.958333333333336
2017-03-11,33.625
2017-03-12,25.0
2017-03-13,25.458333333333332
2017-03-14,24.541666666666668
2017-03-15,23.791666666666668
2017-03-16,58.0
2017-03-17,64.25
2017-03-18,73.70833333333333
2017-03-19,68.33333333333333
2017-03-20,62.833333333333336
2017-03-21,62.958333333333336
2017-03-22,64.875
2017-03-23,68.68
2017-03-24,71.625
2017-03-25,75.70833333333333
2017-03-26,69.54166666666667
2017-03-27,68.04166666666667
2017-03-28,65.66666666666667
2017-03-29,66.33333333333333
2017-03-30,56.84
2017-03-31,56.958333333333336
2017-04-01,60.208333333333336
2017-04-02,55.958333333333336
2017-04-03,63.041666666666664
2017-04-04,61.791666666666664
2017-04-05,57.125
2017-04-06,67.96
2017-04-07,66.0
2017-04-08,63.833333333333336
2017-04-09,62.416666666666664
2017-04-10,65.83333333333333
2017-04-11,71.04166666666667
2017-04-12,65.58333333333333
2017-04-13,68.52
2017-04-14,62.791666666666664
2017-04-15,59.916666666666664
2017-04-16,58.708333333333336
2017-04-17,63.708333333333336
2017-04-18,72.20833333333333
2017-04-19,65.04166666666667
2017-04-20,59.12
2017-04-21,59.125
2017-04-22,57.75
2017-04-23,52.375
2017-04-24,58.166666666666664
2017-04-25,65.95833333333333
2017-04-26,70.0
2017-04-27,54.28
2017-04-28,53.583333333333336
2017-04-29,49.291666666666664
2017-04-30,47.75
2017-05-01,57.666666666666664
2017-05-02,67.29166666666667
2017-05-03,67.20833333333333
2017-05-04,66.76
2017-05-05,62.458333333333336
2017-05-06,53.0
2017-05-07,51.375
2017-05-08,58.791666666666664
2017-05-09,75.04166666666667
2017-05-10,68.5
2017-05-11,54.56
2017-05-12,62.583333333333336
2017-05-13,66.45833333333333
2017-05-14,56.166666666666664
2017-05-15,73.79166666666667
2017-05-16,68.5
2017-05-17,58.458333333333336
2017-05-18,38.52
2017-05-19,40.666666666666664
2017-05-20,39.041666666666664
2017-05-21,41.458333333333336
2017-05-22,62.75
2017-05-23,69.125
2017-05-24,74.875
2017-05-25,75.08
2017-05-26,62.083333333333336
2017-05-27,52.5
2017-05-28,39.416666666666664
2017-05-29,38.291666666666664
2017-05-30,37.458333333333336
2017-05-31,36.791666666666664
2017-06-01,63.4
2017-06-02,56.833333333333336
2017-06-03,53.625
2017-06-04,51.625
2017-06-05,56.458333333333336
2017-06-06,78.54166666666667
2017-06-07,71.5
2017-06-08,59.8
2017-06-09,59.333333333333336
2017-06-10,55.458333333333336
2017-06-11,57.291666666666664
2017-06-12,72.54166666666667
2017-06-13,66.54166666666667
2017-06-14,62.75
2017-06-15,70.32
2017-06-16,56.291666666666664
2017-06-17,46.583333333333336
2017-06-18,44.208333333333336
2017-06-19,46.291666666666664
2017-06-20,49.458333333333336
2017-06-21,51.541666666666664
2017-06-22,66.12
2017-06-23,66.16666666666667
2017-06-24,62.041666666666664
2017-06-25,59.25
2017-06-26,72.0
2017-06-27,82.79166666666667
2017-06-28,80.125
2017-06-29,78.6
2017-06-30,69.70833333333333
2017-07-01,64.875
2017-07-02,66.625
2017-07-03,66.25
2017-07-04,71.41666666666667
2017-07-05,68.58333333333333
2017-07-06,63.88
2017-07-07,59.5
2017-07-08,60.041666666666664
2017-07-09,55.625
2017-07-10,66.08333333333333
2017-07-11,75.08333333333333
2017-07-12,72.79166666666667
2017-07-13,63.68
2017-07-14,63.75
2017-07-15,71.66666666666667
2017-07-16,78.79166666666667
2017-07-17,75.5
2017-07-18,74.75
2017-07-19,70.125
2017-07-20,65.48
2017-07-21,67.29166666666667
2017-07-22,57.5
2017-07-23,59.083333333333336
2017-07-24,57.916666666666664
2017-07-25,62.083333333333336
2017-07-26,60.083333333333336
2017-07-27,39.6
2017-07-28,44.125
2017-07-29,36.791666666666664
2017-07-30,36.333333333333336
2017-07-31,45.125
2017-08-01,77.41666666666667
2017-08-02,71.33333333333333
2017-08-03,62.04
2017-08-04,55.5
2017-08-05,71.58333333333333
2017-08-06,60.541666666666664
2017-08-07,66.04166666666667
2017-08-08,74.45833333333333
2017-08-09,64.83333333333333
2017-08-10,47.88
2017-08-11,50.5
2017-08-12,58.458333333333336
2017-08-13,72.625
2017-08-14,79.66666666666667
2017-08-15,82.0
2017-08-16,69.5
2017-08-17,81.8
2017-08-18,81.75
2017-08-19,76.70833333333333
2017-08-20,71.625
2017-08-21,72.95833333333333
2017-08-22,77.58333333333333
2017-08-23,73.45833333333333
2017-08-24,74.28
2017-08-25,77.04166666666667
2017-08-26,67.33333333333333
2017-08-27,60.833333333333336
2017-08-28,66.125
2017-08-29,78.125
2017-08-30,80.54166666666667
2017-08-31,73.28
2017-09-01,75.70833333333333
2017-09-02,76.08333333333333
2017-09-03,69.375
2017-09-04,79.41666666666667
2017-09-05,81.70833333333333
2017-09-06,71.125
2017-09-07,60.2
2017-09-08,64.54166666666667
2017-09-09,57.083333333333336
2017-09-10,54.916666666666664
2017-09-11,61.0
2017-09-12,61.083333333333336
2017-09-13,81.95833333333333
2017-09-14,71.36
2017-09-15,81.875
2017-09-16,55.0
2017-09-17,44.875
2017-09-18,51.25
2017-09-19,49.458333333333336
2017-09-20,42.083333333333336
2017-09-21,72.12
2017-09-22,70.66666666666667
2017-09-23,58.833333333333336
2017-09-24,55.916666666666664
2017-09-25,61.25
2017-09-26,62.833333333333336
2017-09-27,64.33333333333333
2017-09-28,83.68
2017-09-29,80.58333333333333
2017-09-30,75.625
2017-10-01,72.58333333333333
2017-10-02,81.20833333333333
2017-10-03,80.5
2017-10-04,78.5
2017-10-05,61.28
2017-10-06,59.791666666666664
2017-10-07,55.916666666666664
2017-10-08,60.541666666666664
2017-10-09,74.08333333333333
2017-10-10,76.625
2017-10-11,71.83333333333333
2017-10-12,51.44
2017-10-13,63.791666666666664
2017-10-14,43.291666666666664
2017-10-15,40.416666666666664
2017-10-16,40.833333333333336
2017-10-17,39.5
2017-10-18,39.291666666666664
2017-10-19,54.76
2017-10-20,65.0
2017-10-21,75.875
2017-10-22,63.0
2017-10-23,70.625
2017-10-24,76.75
2017-10-25,69.91666666666667
2017-10-26,53.32
2017-10-27,48.25
2017-10-28,40.875
2017-10-29,42.833333333333336
2017-10-30,52.458333333333336
2017-10-31,58.75
2017-11-01,72.33333333333333
2017-11-02,76.48
2017-11-03,68.45833333333333
2017-11-04,53.708333333333336
2017-11-05,52.375
2017-11-06,55.291666666666664
2017-11-07,53.0
2017-11-08,56.0
2017-11-09,44.24
2017-11-10,51.166666666666664
2017-11-11,50.5
2017-11-12,64.41666666666667
2017-11-13,55.375
2017-11-14,45.0
2017-11-15,44.375
2017-11-16,59.88
2017-11-17,70.125
